title,detail,baseInfoKeyList,baseInfoValueList
 超光速航行,"""超光速（英语：Faster-Than-Light,FTL或稱Superluminal）是一種速度比光速還快的概念，源自於相對論中對於定域物體不可能超過真空中光速的推論限制，光速成為許多場合下速率的上限值。在此之前的牛頓力學並未對超光速的速度作出限制。而在相对论中，运动速度和物体的其它性质，如质量甚至它所在参考系的时间流易等，密切相关，速度低于（真空中）光速的物体如果要加速达到光速，其质量会增长到无穷大因而需要无穷大的能量，而且它所感受到的时间流甚至会停止（如果超过光速则可能会出现“时间倒流”），所以理论上来说达到或超过光速是不可能的（至于光子，那是因为它在真空中永远处于光速c，而不是从低于光速增加到光速）。但也因此使得物理学家（以及普通大众）对于一些疑似超光速的物理现象特别感兴趣。相對論出現後，超光速的意义出現在兩個領域，一個是物理上的（包括理論物理和實驗物理）以及天文學觀測方面，另一個是科幻方面，將相關條目條列如下：""",中文:, 超光速航行
 伪随机性,"""伪随机性（英语：Pseudorandomness）是一个过程似乎是随机的，但实际上并不是。例如伪随机数是使用一个确定性的算法计算出来的似乎是随机的数序，因此伪随机数实际上并不随机。在计算伪随机数时假如使用的开始值不变的话，那么伪随机数的数序也不变。伪随机数的随机性可以用它的统计特性来衡量，其主要特征是每个数出现的可能性和它出现时与数序中其它数的关系。伪随机数的优点是它的计算比较简单，而且只使用少数数值很难推算出计算它的算法。一般人们使用一个假的随机数，比如電腦上的時間作为计算伪随机数的开始值。""",中文:, 伪随机性
 随机化算法,"""随机化算法（randomizedalgorithm），是这样一种算法，在算法中使用了随机函数，且随机函数的返回值直接或者间接的影响了算法的执行流程或执行结果。就是将算法的某一步或某几步置于运气的控制之下，即该算法在运行的过程中的某一步或某几步涉及一个随机决策，或者说其中的一个决策依赖于某种随机事件。""",中文:, 随机化算法
 随机数生成,"""随机数生成器（Randomnumbergenerator）是通过一些算法、物理訊號、環境噪音等来产生看起來似乎沒有關聯性的數列的方法或裝置。丟硬幣、丟骰子、洗牌就是生活上常見的隨機數產生方式。大部分计算机上的偽随机数，并不是真正的随机数，只是重复的周期比较大的數列，是按一定的算法和种子值生成的。""",中文:, 随机数生成
 随机过程,"""在概率论概念中，随机过程是随机变量的集合。若一随机系统的样本点是随机函数，则称此函数为样本函数，这一随机系统全部样本函数的集合是一个随机过程。实际应用中，样本函数的一般定义在时间域或者空间域。随机过程的实例如股票和汇率的波动、语音信号、视频信号、体温的变化，反对法随机运动如布朗运动、随机徘徊等等。""",中文:, 随机过程
 噪声,"""噪音从物理角度上看，是声波的频率、强弱变化无规律、杂乱无章的声音。噪声是令人生理或心理上覺得不舒服，一般讓听到它的人不悅、不舒服、不想要的，或带来烦恼的、不受欢迎的声音，影响人的交谈或思考、工作学习休息的声音。一般人们用分贝（dB）来量噪声的强度，用信噪比（S/N）来衡量噪音对有用信号的影响程度。噪音的可能来源有飞机、汽车、工厂、建筑工地、日常生活等。噪音是環境污染之一，各国政府一般有相应的法律、规定管制噪音。""",中文:, 噪声
 图灵机,"""图灵机（英语：Turingmachine），又称确定型图灵机，是英国数学家艾倫·图灵于1936年提出的一种抽象计算模型，其更抽象的意义为一种数学逻辑机，可以看作等价于任何有限逻辑数学过程的终极强大逻辑机器。""",中文:, 图灵机
 形式方法人物,"""艾兹赫尔·韦伯·戴克斯特拉（荷兰语：EdsgerWybeDijkstra，荷兰语读音：[ˈɛtsxərˈʋibəˈdɛikstra]聆聽，1930年5月11日－2002年8月6日），又譯艾兹赫尔·韦伯·迪杰斯特拉，生於荷蘭鹿特丹，计算机科学家，是荷蘭第一位以程式為專業的科學家。曾在1972年获得图灵奖，之后，他还获得1974年AFIPSHarryGoodeMemorialAward、1989年ACMSIGCSE计算机科学教育教学杰出贡献奖。2002年，在他去世前不久，艾兹赫尔获得了ACMPODC（分布式计算原理）最具影响力论文奖，以表彰他在分布式领域中关于程序计算自稳定的贡献。为了纪念他，这个每年一度奖项也在此后被更名为“Dijkstra奖”。他曾经提出“GOTO有害论”，信号量和PV原语，解决了有趣的“哲学家就餐问题”。""",中文:, 形式方法人物
 模型检查,"""威龍工作室有限公司（英语：DragonModelsLimited，縮寫DML）是香港的一間模型及玩具設計生產商，於1987年建立。創新的意念和先進的技術，歷年來帶領出不計其數的新穎産品，為世界模型玩具業內首屈一指的模型生产厂商。威龍産品籍高質素和創新設計贏得無數國際性獎項和絕大多數人的支援。領導全球市場的知名産品包括：軍事塑膠模型，活動軍人模型，威龍裝甲，飛機和太空系列等，至今已推出數千種產品。另外威龍模型亦與長谷川(Hasegawa)、Italeri、Revell/Monogram及郡氏(GSI)等有銷售協議。於2011開始,首度與迪士尼及漫威(Marvel)合作,推出超級英雄電影和迪士尼卡通的授權産品，其中包括震撼性的1/9ActionHeroVignettes和迪士尼""PlayBuddiesCollection""(奇妙伙伴)等收藏品系列，進一步打開了大衆化市場的大門。2013年已停產民航機及12""活動軍人(1:6)產品，香港第一間本土設計的12""兵人(1:6)公司神話正式結束。威龍模型的分公司分別位於上海及美國(美國威龍(DragonModelsUSA),位于加利福尼亚州。)其門市為环球Hobby館。""",中文:, 模型检查
 自动机,"""自動機（英语：Automaton，複數：Automata，又稱自動機器、自動機械），是指非電源供應，以發條裝置作為動力來源，使自己運作的機器；自動機是必須先手動上緊發條，發條帶動機器內部的齒輪及隨動機械零件，才能自己運作，發條的能量就像蓄電池一樣消耗，必須再上緊發條；運作原理有別於發動機、發電機、電動機及永動機。""",中文:, 自动机
 逻辑演算,"""在邏輯和數學裡，命題演算（或稱句子演算）是一個形式系統，有著可以由以邏輯運算符結合原子命題來構成代表「命題」的公式，以及允許某些公式建構成「定理」的一套形式「證明規則」。""",中文:, 逻辑演算
 面向文档的数据库,"""LotusDomino是IBM的一个服务器产品，提供了企业级的电子邮件、协作能力以及一个可定制的应用平台。Domino最早被称为LotusNotesServer，是莲花公司的客户端-服务器通信技术的服务器组件。它可以被用作LotusNotes的应用服务器并/或作为一个网页服务器。它还包含了一个内置的数据库系统，使用NSF格式。其目录服务也可以被用作认证的目的。""",中文:, 面向文档的数据库
 超光速,"""超光速（英语：Faster-Than-Light,FTL或稱Superluminal）是一種速度比光速還快的概念，源自於相對論中對於定域物體不可能超過真空中光速的推論限制，光速成為許多場合下速率的上限值。在此之前的牛頓力學並未對超光速的速度作出限制。而在相对论中，运动速度和物体的其它性质，如质量甚至它所在参考系的时间流易等，密切相关，速度低于（真空中）光速的物体如果要加速达到光速，其质量会增长到无穷大因而需要无穷大的能量，而且它所感受到的时间流甚至会停止（如果超过光速则可能会出现“时间倒流”），所以理论上来说达到或超过光速是不可能的（至于光子，那是因为它在真空中永远处于光速c，而不是从低于光速增加到光速）。但也因此使得物理学家（以及普通大众）对于一些疑似超光速的物理现象特别感兴趣。相對論出現後，超光速的意义出現在兩個領域，一個是物理上的（包括理論物理和實驗物理）以及天文學觀測方面，另一個是科幻方面，將相關條目條列如下：""",中文:, 超光速
 机率复杂度理论,"""计算复杂性理论（Computationalcomplexitytheory）是理论计算机科学和数学的一个分支，它致力于将可计算问题根据它们本身的复杂性分类，以及将这些类别联系起来。一个可计算问题被认为是一个原则上可以用计算机解决的问题，亦即这个问题可以用一系列机械的数学步骤解决，例如算法。如果一个问题的求解需要相当多的资源（无论用什么算法），则被认为是难解的。计算复杂性理论通过引入数学计算模型来研究这些问题以及定量计算解决问题所需的资源（时间和空间），从而将资源的确定方法正式化了。其他复杂性测度同样被运用，比如通信量（应用于通信复杂性），电路中门的数量（应用于电路复杂性）以及中央处理器的数量（应用于并行计算）。计算复杂性理论的一个作用就是确定一个能或不能被计算机求解的问题的所具有的实际限制。在理论计算机科学领域，与此相关的概念有算法分析和可计算性理论。两者之间一个关键的区别是前者致力于分析用一个确定的算法来求解一个问题所需的资源量，而后者则是在更广泛意义上研究用所有可能的算法来解决相同问题。更精确地说，它尝试将问题分成能或不能在现有的适当受限的资源条件下解决这两类。相应地，在现有资源条件下的限制正是区分计算复杂性理论和可计算性理论的一个重要指标：后者关心的是何种问题原则上可以用算法解决。""",中文:, 机率复杂度理论
 统计随机性,"""随机性（英语：Randomness）这个词是用来表达目的、动机、规则或一些非科学用法的可预测性的缺失。一个随机的过程是一个不定因子不断产生的重复过程，但它可能遵循某个概率分布。术语随机经常用于统计学中，表示一些定义清晰的、彻底的统计学属性，例如缺失偏差或者相關。随机与任意不同，因为“一个变量是随机的”表示这个变量遵循概率分布。而任意在另一方面又暗示了变量没有遵循可限定概率分布。随机在自然科学和哲学上有着重要的地位。""",中文:, 统计随机性
 Acid测试,"""Acid3由網頁標準計劃設計，是一份網頁瀏覽器及設計軟體之標準相容性的測試網頁，Acid3開發始於2007年4月，2008年3月3日正式發布。其測試焦點集中在ECMAScript、DOMLevel3、MediaQueries和data:URL。以瀏覽器開啟此測試網頁後，頁面會不斷載入功能、直接給予分數，滿分為100分。""",中文:, Acid测试
 形式方法,"""形式化方法，中文也稱形式方法、正規方法。在计算机科学和软件工程领域，形式化方法是基于数学的特种技术，适合于软件和硬件系统的描述、开发和验证。将形式化方法用于软件和硬件设计，是期望能够像其它工程学科一样，使用适当的数学分析以提高设计的可靠性和強健性。但是，由于采用形式化方法的成本高意味着它们通常只用于开发注重安全性的高度整合的系统。""",中文:, 形式方法
 缺陷和问题跟踪软件,"""缺陷跟踪管理系统是一种应用软件，它被设计用来帮助质量保证和程序员在工作中维护软件缺陷的跟踪报告，也可以被认为是一种问题跟踪管理系统。许多的缺陷跟踪管理系统,比如那些大多数在开源软件工程中使用的，允许用户直接登记缺陷报告，还有一些则是只在公司或者机构内部用来进行软件开发。很具代表性，缺陷跟踪管理系统总是集成一些软件工程管理应用软件。缺陷跟踪管理系统在软件开发时是非常有用的，它被广泛使用于软件公司的产品开发。""",中文:, 缺陷和问题跟踪软件
 软件审查,"""突破网络审查或突破网络封锁，在中国大陆突破防火长城实行的网络审查又稱翻墙、穿牆、科學上網、愛國上網等指绕过互联网审查封锁技术（IP封锁、端口封锁、关键词过滤、域名劫持等），实现对网络内容的访问。突破网络审查的软件通常被称作翻墙软件。翻墙软件並不只是代理软件，它着眼於獲得被封鎖的網站內容。""",中文:, 软件审查
 软件测试工具,"""轻量级软件测试自动化（英语：Lightweightsoftwaretestautomation）是設計相對簡單及短的電腦程式（稱為轻量级測試工具）來測試軟體系統的過程。轻量级測試工具不限定某種程式語言，不過最常用Java、Perl、VisualBasic.NET及C#實現。轻量级測試工具的原代碼一般不超過四頁、撰寫時間不超過四小時。轻量级测试自动化常和敏捷软件开发一起使用。除了轻量级软件测试自动化外，另外三種软件测试自动化的方式是商業测试自动化框架軟件、開源测试自动化框架以及重量級测试自动化。轻量级测试自动化的主要缺點是可管理性較弱，因為轻量级测试自动化相對較簡單，也容易實現，相較起來，製作不同的測試工具、測試用例檔案、測試結果檔案……會花掉相當多的時間。不過轻量级测试自动化也有一些明顯的好處：相較於商用框架，轻量级测试自动化初期成本較便宜，可變性也較高。相較於開源框架，轻量级测试自动化因為其更新較少，也沒有外在的相依性，因此比較穩定。相較於重量級框架，轻量级测试自动化框架要實現及修改都比較簡單。轻量级软件测试自动化一般會用來補足上述的测试自动化方式，而不是取代上述的作法。在回归测试時，轻量级测试自动化非常有用，其測試目的只是驗證新加入待測系統的程式碼不會造成新的軟體問題。轻量级测试自动化也可以用在其他軟體測試的領域，例如性能測試、壓力測試（Stresstesting）、負載測試、安全性測試、代碼覆蓋率分析、軟體突變測試等。詹姆斯·麥卡弗里廣泛的提出意見，倡導轻量级软件测试自动化。""",中文:, 软件测试工具
 反向代理,"""在電腦網路中，反向代理是代理伺服器的一種。伺服器根据客户端的请求，从其關聯的一組或多組后端服务器（如Web服务器）上获取资源，然后再将这些资源返回给客户端，客户端只會得知反向代理的IP位址，而不知道在代理伺服器後面的伺服器叢集的存在。与前向代理不同，前向代理作为客户端的代理，將從互联网上获取的资源返回给一個或多個的客户端，伺服器端（如Web服务器）只知道代理的IP位址而不知道客户端的IP位址；而反向代理是作为服务器端（如Web服务器）的代理使用，而不是客户端。客户端藉由前向代理可以間接访问很多不同網際網路伺服器（叢集）的资源，而反向代理是供很多客户端都通过它間接访问不同后端服务器上的资源，而不需要知道这些后端服务器的存在，而以为所有资源都来自于这个反向代理服务器。反向代理在現時的網際網路中並不少見，而另一些例子，像是CDN、SNI代理等，是反向代理結合DNS的一類延伸應用。""",中文:, 反向代理
 分布式版本控制系统,"""在程式設計中，分散式版本控制（英语：distributedrevisioncontrol或distributedversioncontrol，又譯為分布式版本控制），又稱去中心化版本控制（decentralizedversioncontrol），是一種版本控制的方式，它允許軟體開發者可以共同參與一個軟體開發專案，但是不必在相同的網路系統下工作。以分散式版本控制方法，作出的軟體版本控制系統，稱為分散式版本控制系統（distributedrevisioncontrolsystem，縮寫為DRCS，或是distributedversioncontrolsystem，縮寫為DVCS）。著名的分散式版本控制系統有Monotone、Git等。""",中文:, 分布式版本控制系统
 自由版本控制软件,"""版本控制（Revisioncontrol）是维护工程藍圖的标准作法，能追蹤工程藍图從诞生一直到定案的過程。此外，版本控制也是一種軟體工程技巧，藉此能在軟體開發的過程中，確保由不同人所編輯的同一程式檔案都得到同步。""",中文:, 自由版本控制软件
 项目托管网站,"""mozdev.org是一个为Mozilla社区提供自由软件项目托管及软件开发工具的网站。许多Firefox、Thunderbird和SeaMonkey扩展以及独立的Mozilla应用程序托管在此网站。在此网站建立项目是免费的，但所有开发使用开放源代码促进会（OSI）批准的许可证。目前有超过250个开发项目在Mozdev上活跃。""",中文:, 项目托管网站
 NoSQL,"""NoSQL是對不同於傳統的關聯式資料庫的数据库管理系统的統稱。兩者存在許多顯著的不同點，其中最重要的是NoSQL不使用SQL作為查詢語言。其數據存儲可以不需要固定的表格模式，也經常會避免使用SQL的JOIN操作，一般有水平可扩展性的特征。""",中文:, NoSQL
 SQL关键字,"""SQL中的连接（JOIN）语句用于将数据库中的两个或多个表组合起来。由""连接""生成的集合,可以被保存为表,或者当成表来使用.JOIN语句的含义是把两张表的属性通过它们的值组合在一起.基于ANSI标准的SQL列出了五种JOIN方式:内连接(INNER),全外连接(FULLOUTER),左外连接(LEFTOUTER),右外连接(RIGHTOUTER)和交叉连接(CROSS).在特定的情况下,一张表(基本表,视图,或连接表)可以和自身进行连接,成为自连接(self-join).程序员用JOIN谓词表示要得到""连接""后的集合.如果evaluatedpredicate为真,组合后的记录就会按照预期的方式生成,如一个记录集,或者一张临时表.""",中文:, SQL关键字
 小行星探测器,"""勇气号火星探测器，台湾译作精神号火星探测车[1]（Spirit,MER-A），是美国国家航空航天局火星探测漫游者计划的第一部火星漫游车。火星探测漫游者计划旨在将勇气号和机遇号两部双胞胎火星车送往火星，对火星这颗红色行星进行详细考察。""",中文:, 小行星探测器
 时间旅行,"""時間旅行或稱時空旅行、時光旅行或穿越時空等，泛指人或者其它物體由某一時間點移動到另外一個時間點。事實上，所有的人都順著時間一分一秒地自然前進，所以時間旅行單指違反這種自然時間變化的方式：要麼是前往未來，要麼是回到過去。時間旅行常常作為戲劇或者小說中，將人物放在不同時空中的手段，而穿越、穿越劇、穿越小說等名稱也成為這些作品的分類，與傳統戲劇或者小說中的分類看齊。""",中文:, 时间旅行
 目的论,"""目的論（英语：Teleology）属于哲學的範疇，致力于探討事物產生的目的、本源和其歸宿。""",中文:, 目的论
 随机性,"""随机性（英语：Randomness）这个词是用来表达目的、动机、规则或一些非科学用法的可预测性的缺失。一个随机的过程是一个不定因子不断产生的重复过程，但它可能遵循某个概率分布。术语随机经常用于统计学中，表示一些定义清晰的、彻底的统计学属性，例如缺失偏差或者相關。随机与任意不同，因为“一个变量是随机的”表示这个变量遵循概率分布。而任意在另一方面又暗示了变量没有遵循可限定概率分布。随机在自然科学和哲学上有着重要的地位。""",中文:, 随机性
 软件测试,"""軟體測試（英语：softwaretesting），描述一種用來促進鑑定軟體的正確性、完整性、安全性和品質的過程。據此，您可能會想，軟體測試永遠不可能完整的確立任意電腦軟體的正確性。然而，在可計算理論（計算機科學的一個支派）一個簡單的數學證明推斷出下列結果：不可能完全解決所謂「當機」，指任意電腦程式是否會進入無窮迴圈，或者罷工並產生輸出問題。換句話說，軟體測試是一種實際輸出與預期輸出間的稽核或者比較過程。软件测试的经典定义是：在规定的条件下对程序进行操作，以发现程序错误，衡量軟體品質，并对其是否能满足设计要求进行评估的过程。軟體測試有許多方法，但對複雜的產品執行有效測試不僅僅是研究過程，更是創造並嚴格遵守某些呆板步驟的大事。測試的其中一個定義：為了評估而質疑產品的過程；這裡的“質疑”是測試員試著對產品做的事，而產品以測試者腳本行為反應作為回答。雖然大部分測試的智力過程不外乎回顧、檢查，然而「測試」這個词意味著產品動態分析──讓產品流暢運行。程式品質可能，而且通常會，隨系統不同而有差異；不過某些公認特性是共通的：可靠性、穩定性、輕便性、易於維護、以及實用性。請參照至ISO標準ISO9126有更詳盡的說明。""",中文:, 软件测试
 静态代码分析工具,"""靜態程序分析（英语：Staticprogramanalysis）是指在不執行计算机程序的條件下，進行程序分析的方法。有些程序分析需要在程序執行時才能進行，這種程序分析稱為動態程序分析。大部份的靜態程序分析的對象是針對特定版本的源代码，也有些靜態程序分析的對象是目标代码。靜態程序分析一詞多半是指配合靜態程序分析工具進行的分析，人工進行的分析一般稱為程式理解或代码审查。靜態程序分析的複雜程度依所使用的工具而異，簡單的只考慮個別语句及声明的行為，複雜的可以分析程序的完整源代码。不同靜態程序分析技术对分析得到的資訊的用途也有所不同，簡單的可以是高亮标识可能存在的代碼錯誤（如lint），複雜的可以是形式化方法，也就是用數學的方式證明程式的某些行為符合其設計规约。軟體度量和反向工程可以視為一種靜態程序分析的方式。在實務上，在定義所謂的軟體品質指標（softwarequalityobjectives）後，軟體度量的推導及程序分析常一起進行，在開發嵌入式系統時常會用這種方式進行。靜態程序分析的商業用途可以用來驗證安全關鍵電腦系統中的軟體，並指出可能有计算机安全隐患的程式碼，這類的應用越來越多。例如以下的產業已確定用靜態程序分析作為提昇複雜軟體品質的方法：醫療軟體：美國的美国食品药品监督管理局確定在醫療設備上使用靜態程序分析。核能軟體：英國的健康与安全委员会建議針對堆保护系统的軟體進行靜態程序分析中。在資訊安全的領域中，靜態程序分析會稱為靜態應用程式安全檢測（StaticApplicationSecurityTesting，簡稱SAST）。""",中文:, 静态代码分析工具
 动态规划,"""动态规划（英语：Dynamicprogramming，简称DP）是一种在数学、管理科学、计算机科学、经济学和生物信息学中使用的，通过把原问题分解为相对简单的子问题的方式求解复杂问题的方法。动态规划常常适用于有重叠子问题和最优子结构性质的问题，动态规划方法所耗时间往往远少于朴素解法。动态规划背后的基本思想非常简单。大致上，若要解一个给定问题，我们需要解其不同部分（即子问题），再根据子问题的解以得出原问题的解。通常许多子问题非常相似，为此动态规划法试图仅仅解决每个子问题一次，从而减少计算量：一旦某个给定子问题的解已经算出，则将其记忆化存储，以便下次需要同一个子问题解之时直接查表。这种做法在重复子问题的数目关于输入的规模呈指數增長时特别有用。""",中文:, 动态规划
 机器学习算法,"""机器学习是人工智能的一个分支。人工智能的研究历史有着一条从以“推理”为重点，到以“知识”为重点，再到以“学习”为重点的自然、清晰的脉络。显然，机器学习是实现人工智能的一个途径，即以机器学习为手段解决人工智能中的问题。机器学习在近30多年已发展为一门多领域交叉学科，涉及概率论、统计学、逼近论、凸分析、计算复杂性理论等多门学科。机器学习理论主要是设计和分析一些让计算机可以自动“学习”的算法。机器学习算法是一类从数据中自动分析获得规律，并利用规律对未知数据进行预测的算法。因为学习算法中涉及了大量的统计学理论，机器学习与推断统计学联系尤为密切，也被称为统计学习理论。算法设计方面，机器学习理论关注可以实现的，行之有效的学习算法。很多推论问题属于无程序可循难度，所以部分的机器学习研究是开发容易处理的近似算法。机器学习已广泛应用于数据挖掘、计算机视觉、自然语言处理、生物特征识别、搜索引擎、医学诊断、检测信用卡欺诈、证券市场分析、DNA序列测序、语音和手写识别、战略游戏和机器人等领域。""",中文:, 机器学习算法
 估计理论,"""估计理论是统计学和信号处理中的一个分支，主要是通过测量或经验数据来估计概率分布参数的数值。这些参数描述了实质情况或实际对象，它们能够回答估计函数提出的问题。例如，估计投票人总体中，给特定候选人投票的人的比例。这个比例是一个不可观测的参数，因为投票人总体很大；估计值建立在投票者的一个小的随机采样上。又如，雷达的目的是物体（飞机、船等）的定位。这种定位是通过分析收到的回声（回波）来实现的，定位提出的问题是“飞机在哪里？”为了回答这个问题，必须估计飞机到雷达之间的距离。如果雷达的绝对位置是已知的，那么飞机的绝对位置也是可以确定的。在估计理论中，通常假定信息隐藏在包含雜訊的信号中。噪声增加了不确定性，如果没有不确定性，那么也就没有必要估计了。""",中文:, 估计理论
 信息学熵,"""化學及热力学中所谓熵（英语：entropy），是一種測量在動力學方面不能做功的能量總數，也就是當總體的熵增加，其做功能力也下降，熵的量度正是能量退化的指標。熵亦被用於計算一個系統中的失序現象，也就是計算該系統混亂的程度。熵是一个描述系统状态的函数，但是经常用熵的参考值和变化量进行分析比较，它在控制论、概率论、数论、天体物理、生命科学等领域都有重要应用，在不同的学科中也有引申出的更为具体的定义，是各领域十分重要的参量。""",中文:, 信息学熵
